Tasks: 615 total,   1 running, 614 sleeping,   0 stopped,   0 zombie
  Mem:      5.6G total,      5.3G used,      325M free,      4.1M buffers
 Swap:      2.7G total,      2.1G used,      581M free,      1.7G cached
800%cpu 230%user  11%nice 219%sys 315%idle   0%iow  19%irq   7%sirq   0%host
  PID USER         PR  NI VIRT  RES  SHR S[%CPU] %MEM     TIME+ ARGS
  516 root          0 -20    0    0    0 S  0.0   0.0   0:00.04 [loop2]
  513 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [ext4-rsv-conver]
  512 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [jbd2/sdd23-8]
  508 root         20   0    0    0    0 S  0.0   0.0   0:00.23 [f2fs_gc-259:56]
  507 root         20   0    0    0    0 S  0.0   0.0   0:00.11 [f2fs_discard-25]
  501 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [ext4-rsv-conver]
  500 root         20   0    0    0    0 S  0.0   0.0   0:03.03 [jbd2/sdd18-8]
  494 root         20   0  36M 1.6M 1.6M S  0.0   0.0   0:00.18 oeminfo_nvm_server
  493 root         20   0 2.1G 3.5M 3.5M S  0.0   0.0   0:00.26 vold --blkid_context=u:r:blkid:s0 --blkid_untrusted_context=u:r:blkid_untrusted:s0 --fsck_context=u:r:fsck:s0 --fsck_untrusted_context=u:r:fsck_untrusted:s0
  491 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [ext4-rsv-conver]
  490 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [jbd2/sdd7-8]
  489 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [f_mtp]
  481 system       20   0  29M 1.6M 1.6M S  0.0   0.0   0:00.01 vndservicemanager /dev/vndbinder
  480 system       20   0 2.0G 3.4M 2.8M S  0.0   0.0   0:04.03 hwservicemanager
  478 logd         30  10 119M 4.2M 1.4M S  0.0   0.0   6:24.97 logd
  475 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [ext4-rsv-conver]
  474 root          0 -20    0    0    0 S  0.0   0.0   0:00.00 [loop1]
  473 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [ext4-rsv-conver]
  471 root          0 -20    0    0    0 S  0.0   0.0   0:00.02 [loop0]
  461 root         20   0  35M 1.6M 0.9M S  0.0   0.0   0:03.19 ueventd
  460 root         20   0  35M 656K 656K S  0.0   0.0   0:00.16 init subcontext u:r:vendor_init:s0 14
  456 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
  455 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
  454 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
  453 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kverityd]
  452 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
  451 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kdmflush]
  450 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
  449 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
  448 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
  447 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kverityd]
  446 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
  445 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kdmflush]
  444 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
  443 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
  442 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
  441 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kverityd]
  440 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
  439 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kdmflush]
  438 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
  437 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
  436 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
  435 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kverityd]
  434 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
  433 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kdmflush]
  432 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
  431 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
  430 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
  429 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kverityd]
  428 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
  427 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kdmflush]
  426 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
  425 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
  424 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
  423 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kverityd]
  422 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
  421 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kdmflush]
  419 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
  418 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
  417 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
  416 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kverityd]
  415 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
  414 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kdmflush]
  413 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
  412 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
  411 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
  410 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kverityd]
  409 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
  408 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kdmflush]
  403 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
  402 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
  401 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
  400 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kverityd]
  399 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
  398 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kdmflush]
  397 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [ext4-rsv-conver]
  396 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [jbd2/sdd66-8]
  395 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
  394 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
  393 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
  392 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kverityd]
  391 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
  390 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kdmflush]
  389 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
  388 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kdmflush]
  387 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
  386 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kdmflush]
  385 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
  384 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kdmflush]
  383 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
  382 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kdmflush]
  381 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
  380 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kdmflush]
  379 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [antiroot-ca]
  378 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [ps_ud_te_freq]
  377 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [flp_wq]
  376 root         RT   0    0    0    0 S  0.0   0.0   0:00.01 [hisi-tcpc]
  375 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [hisi_tcpc_event]
  374 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [hisi_tcpc_timer]
  373 root         RT   0    0    0    0 D  0.0   0.0   0:00.00 [pcm_run_thread]
  372 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [right_data_pars]
  371 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [left_data_parse]
  370 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [hi64xxdumplog]
  369 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [msg_proc_wq]
  368 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [hi64xx_micbias_]
  367 root         20   0    0    0    0 S  0.0   0.0   0:00.30 [pll_delayed_rel]
  365 root         20   0    0    0    0 D  0.0   0.0   0:00.00 [iotrace_delay]
  364 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [wifi_filter_thr]
  363 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [lvc_wtd_wq]
  362 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [lvc_charging_wq]
  361 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [sc_wtd_wq]
  360 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [sc_charging_wq]
  359 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [sharemem_receiv]
  358 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [mcu_aod_workque]
  357 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [mcu_event_notif]
  356 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [iom3_rec_wq]
  355 root         20   0    0    0    0 D  0.0   0.0   0:00.00 [rdr_exce_thread]
  354 root         20   0    0    0    0 D  0.0   0.0   0:00.00 [rdr_sh_thread]
  353 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/247-tas2562]
  352 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/245-tas2562]
  351 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/248-tas2562]
  350 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/246-tas2562]
  345 root         -2   0    0    0    0 S  0.0   0.0   0:00.00 [rpmb_task]
  344 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [noc_err_handle_]
  343 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/83-errirq]
  342 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/84-faultirq]
  341 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [thermal_hotplug]
  340 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [hisifb2-layerbu]
  339 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [fb0_display_eng]
  338 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [refresh_handle]
  337 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [hisifb1-layerbu]
  336 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [dss_underflow_d]
  334 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [fb0_display_eng]
  333 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [hisi_smmu_evt.0]
  332 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [hkip-atkinfo]
  331 root         20   0    0    0    0 D  0.0   0.0   0:00.00 [slub-free]
  330 root         20   0    0    0    0 D  0.0   0.0   0:00.00 [slub-alloc]
  325 root         20   0    0    0    0 S  0.0   0.0   0:01.02 [workingset:coll]
  324 root         RT   0    0    0    0 S  0.0   0.0   0:01.36 [core_ctl/7]
  323 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [core_ctl/4]
  322 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [core_ctl/0]
  321 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [uscp_wq]
  320 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [ipv6_addrconf]
  316 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/181-fed3f00]
  315 root         20   0    0    0    0 D  0.0   0.0   0:00.00 [fi_netlink_thre]
  314 root         20   0    0    0    0 D  0.0   0.0   0:00.00 [emcom_netlink_t]
  313 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [pd_dpm_usb_wq]
  312 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [hall_wq]
  311 root         20   0    0    0    0 S  0.0   0.0   0:11.91 [hw_kstate]
  310 root         20   0    0    0    0 D  0.0   0.0   0:00.00 [nb_netlink]
  309 root         20   0    0    0    0 D  0.0   0.0   0:00.00 [sim_netlink_thr]
  308 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [virtual_voice h]
  307 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [virtual_voice p]
  306 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [vir_voice_send_]
  305 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [hung_wp_screen_]
  304 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [process_ocp]
  302 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [hwlog_wq]
  301 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [devdrv-cqsq-wor]
  300 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [devdrv-heartbea]
  299 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [devdrv-mb-send]
  298 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [npu_mntn_rdr_wq]
  297 root         20   0    0    0    0 D  0.0   0.0   0:00.00 [hippmntn]
  296 root         20   0    0    0    0 S  0.0   0.0   0:38.06 [hisi-drg]
  295 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [RDR_IVP]
  294 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [monitor-dpm-que]
  293 root         20   0    0    0    0 D  0.0   0.0   0:00.00 [modemddrc_emit]
  292 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [rdr_codec_hifi_]
  291 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [rdr_codec_hifi_]
  290 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [rdr_audio_soc_w]
  289 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [rdr_audio_soc_t]
  288 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [bbox_lpmcu_diag]
  287 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [bbox_diaginfo]
  284 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [soundtrigger_de]
  283 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [soundtrigger_de]
  282 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [voice proxy wri]
  281 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [send_mailbox_cn]
  280 root         RT   0    0    0    0 S  0.0   0.0   2:29.20 [irq/186-thp]
  272 root         20   0    0    0    0 D  0.0   0.0   0:00.05 [chr_web_thread]
  271 root         20   0    0    0    0 D  0.0   0.0   0:00.00 [chr_netlink_thr]
  270 root         20   0    0    0    0 D  0.0   0.0   0:00.00 [sock_destroy_th]
  269 root         20   0    0    0    0 D  0.0   0.0   0:04.54 [netlink_handle]
  268 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [memlat_wq]
  267 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [rpmsg_tx_tsk]
  266 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [RDR ISP]
  265 root         10 -10    0    0    0 S  0.0   0.0   0:00.00 [pwronisp]
  264 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [elousb]
  263 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [dw-mci-card/2]
  261 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [dw-mci-card/1]
  260 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [cfinteractive]
  259 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [dm_bufio_cache]
  257 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [wdt_wq]
  254 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [rtc_nv_work]
  253 root         20   0    0    0    0 D  0.0   0.0   0:00.00 [long_powerkey]
  252 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [uether]
  251 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [ufs_eh_worker]
  250 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [scsi_tmf_0]
  249 root         -2   0    0    0    0 S  0.0   0.0   0:00.00 [scsi_eh_0]
  248 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [pmu-ocp-wq]
  247 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [pmic-otmp-wq]
  246 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [busyidle_notify]
  245 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
  243 root         20   0    0    0    0 D  0.0   0.0   0:00.00 [acm_dmd_loop]
  242 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [acm_fwk_loop]
  241 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [aod_ud_fast_unb]
  240 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [esd_check]
  239 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [hisifb0-layerbu]
  238 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [dss_underflow_d]
  237 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [dfr_delay_work]
  236 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [dfr_notice_work]
  235 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [fb0_display_eng]
  234 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [fb0_display_eng]
  231 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [masklayer_backl]
  230 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [fb0_gmp_lut]
  229 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [fb0_hiace_end]
  228 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [fb0_ldi_underfl]
  227 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [fb0_dss_debug]
  226 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kthrotld]
  181 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [HW_KERNEL_STP_S]
  180 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [HW_KERNEL_STP_M]
  175 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [EIMA]
  174 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [cifsoplockd]
  173 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [cifsiod]
  172 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [ecryptfs-kthrea]
  170 root         20   0    0    0    0 S  0.0   0.0   0:02.07 [kauditd]
  129 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [interface_msg_p]
  128 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [smc_svc_thread]
  127 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [tuid]
  126 root         20   0    0    0    0 S  0.0   0.0   0:00.02 [agent_rpmb]
  124 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [ipihelper]
  123 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [siqthread/0]
  122 root         RT   0    0    0    0 D  0.0   0.0   0:00.00 [mailboxHigh]
  121 root         RT   0    0    0    0 D  0.0   0.0   0:00.00 [mailboxNormal]
  120 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [hifi_om_work_au]
  119 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [hifi_om_work_au]
  118 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [hifi_om_work_sm]
  117 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [hifi_om_work_vo]
  116 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [hifi_om_work_vo]
  115 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [hifi_om_work_au]
  114 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [hifi_om_work_vo]
  113 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [dspdumplog]
  112 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [mptcp_wq]
  110 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [v600_delay_wq]
  109 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [slimbus_lost_sy]
  108 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [usb_analog_hs_p]
  107 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [usb_analog_hs_p]
  106 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [watchdogd]
  105 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [cfg80211]
  104 root         20   0    0    0    0 D  0.0   0.0   0:00.16 [hwxcollie]
  103 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [rdr_lpm3_thread]
  102 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [devfreq_wq]
  101 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [protect_cpa_hea]
  100 root         20   0    0    0    0 S  0.0   0.0   0:00.07 [camera_heap]
   98 root         20   0    0    0    0 S  0.0   0.0   0:25.50 [sys_heap]
   97 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [sys_pool]
   96 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [hisi_usb_typec]
   95 root         20   0    0    0    0 S  0.0   0.0   0:59.28 [spi1]
   94 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [dsm_wq]
   93 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [io_latency_work]
   92 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kblockd]
   91 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [crypto]
   90 root         20   0    0    0    0 S  0.0   0.0   0:08.27 [kcompactd0]
   89 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [writeback]
   88 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [oom_reaper]
   87 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [init_wdt_wkq]
   86 root         20   0    0    0    0 S  0.0   0.0   0:13.10 [khungtaskd]
   85 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [npu-mailbox-3]
   84 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [npu-mailbox-2]
   83 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [npu-mailbox-1]
   82 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [npu-mailbox-0]
   81 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [ao-mailbox-0]
   80 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [mailbox-30]
   79 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [mailbox-28]
   78 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [mailbox-27]
   77 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [mailbox-26]
   76 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [mailbox-25]
   75 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [mailbox-23]
   74 root         RT   0    0    0    0 S  0.0   0.0   0:08.53 [mailbox-18]
   73 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [mailbox-17]
   72 root         RT   0    0    0    0 S  0.0   0.0   0:22.60 [mailbox-16]
   71 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [mailbox-15]
   70 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [mailbox-14]
   69 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [mailbox-13]
   68 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [mailbox-12]
   67 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [mailbox-11]
   66 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [mailbox-10]
   61 root         20   0    0    0    0 D  0.0   0.0   0:00.00 [bbox_cleartext]
   59 root         RT   0    0    0    0 D  0.0   0.0   0:00.19 [bbox_main]
   55 root         20   0    0    0    0 S  0.0   0.0   0:02.44 [ksoftirqd/7]
   54 root         RT   0    0    0    0 S  0.0   0.0   0:02.17 [migration/7]
   53 root         RT   0    0    0    0 S  0.0   0.0   0:00.02 [watchdog/7]
   52 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [cpuhp/7]
   49 root         20   0    0    0    0 S  0.0   0.0   0:13.82 [ksoftirqd/6]
   48 root         RT   0    0    0    0 S  0.0   0.0   0:01.26 [migration/6]
   47 root         RT   0    0    0    0 S  0.0   0.0   0:00.18 [watchdog/6]
   46 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [cpuhp/6]
   43 root         20   0    0    0    0 S  0.0   0.0   0:18.14 [ksoftirqd/5]
   42 root         RT   0    0    0    0 S  0.0   0.0   0:01.54 [migration/5]
   41 root         RT   0    0    0    0 S  0.0   0.0   0:00.18 [watchdog/5]
   40 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [cpuhp/5]
   37 root         20   0    0    0    0 S  0.0   0.0   0:21.72 [ksoftirqd/4]
   36 root         RT   0    0    0    0 S  0.0   0.0   0:01.97 [migration/4]
   35 root         RT   0    0    0    0 S  0.0   0.0   0:00.19 [watchdog/4]
   34 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [cpuhp/4]
   31 root         20   0    0    0    0 S  0.0   0.0   0:27.08 [ksoftirqd/3]
   30 root         RT   0    0    0    0 S  0.0   0.0   0:05.87 [migration/3]
   29 root         RT   0    0    0    0 S  0.0   0.0   0:00.39 [watchdog/3]
   28 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [cpuhp/3]
   25 root         20   0    0    0    0 S  0.0   0.0   0:26.81 [ksoftirqd/2]
   24 root         RT   0    0    0    0 S  0.0   0.0   0:05.91 [migration/2]
   23 root         RT   0    0    0    0 S  0.0   0.0   0:00.40 [watchdog/2]
   22 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [cpuhp/2]
   19 root         20   0    0    0    0 S  0.0   0.0   0:29.33 [ksoftirqd/1]
   18 root         RT   0    0    0    0 S  0.0   0.0   0:06.53 [migration/1]
   17 root         RT   0    0    0    0 S  0.0   0.0   0:00.42 [watchdog/1]
   16 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [cpuhp/1]
   15 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [cpuhp/0]
   14 root         RT   0    0    0    0 S  0.0   0.0   0:00.50 [watchdog/0]
   12 root         RT   0    0    0    0 S  0.0   0.0   0:08.28 [migration/0]
   11 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [rcu_bh]
   10 root         20   0    0    0    0 I  0.0   0.0   0:44.89 [rcu_sched]
    9 root         20   0    0    0    0 I  0.0   0.0   3:19.76 [rcu_preempt]
    8 root         20   0    0    0    0 S  0.0   0.0   1:01.31 [ksoftirqd/0]
    7 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [mm_percpu_wq]
    5 root          0 -20    0    0    0 I  0.0   0.0   0:31.43 [kworker/0:0H]
    3 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [rcu_gp]
    2 root         20   0    0    0    0 S  0.0   0.0   0:00.34 [kthreadd]
    1 root         20   0  69M 2.6M 2.0M S  0.0   0.0   0:41.28 init second_stage
